Fecha,Competición,Equipo,Rival,Local/Visitante,Resultado,Goles a favor,Goles en contra,Tiros totales del equipo,Tiros totales del rival,Tiros al arco del equipo,Tiros al arco del rival,Tiros al arco del equipo en 1T,Goles equipo en 1T,Goles rival en 1T,Córneres equipo,Córneres rival,Faltas equipo,Faltas rival,Tarjetas equipo,Tarjetas rival
2026-09-06,Liga,Millonarios,Pereira,Local,1-1,1,1,11.0,9.0,7.0,2.0,,0,0,3.0,2.0,12.0,13.0,2.0,3.0
2026-09-02,Liga,Millonarios,Santa Fe,Local,3-2,3,2,20.0,12.0,9.0,6.0,,1,1,8.0,7.0,13.0,10.0,5.0,1.0
2026-08-30,Liga,Millonarios,La Equidad,Local,0-0,0,0,14.0,10.0,6.0,3.0,,0,0,7.0,5.0,9.0,11.0,2.0,2.0
2026-08-27,Liga,Millonarios,Llaneros,Visitante,2-0,2,0,19.0,5.0,8.0,2.0,,1,0,5.0,2.0,14.0,13.0,3.0,3.0
2026-08-22,Liga,Millonarios,Aguilas,Local,1-1,1,1,9.0,12.0,5.0,4.0,,0,0,3.0,6.0,11.0,12.0,2.0,2.0
2026-08-30,Liga,Deportivo Cali,Bucaramanga,Local,1-1,1,1,13.0,13.0,4.0,4.0,,0,0,4.0,4.0,20.0,10.0,4.0,3.0
2026-08-26,Liga,Deportivo Cali,Nacional,Visitante,2-1,2,1,8.0,15.0,3.0,9.0,,0,1,2.0,3.0,14.0,15.0,3.0,5.0
2026-08-23,Liga,Deportivo Cali,La Equidad,Local,2-2,2,2,13.0,10.0,5.0,4.0,,2,1,5.0,3.0,5.0,5.0,2.0,2.0
2026-08-08,Liga,Deportivo Cali,Pasto,Local,0-2,0,2,17.0,10.0,6.0,4.0,,1,0,3.0,6.0,20.0,17.0,2.0,2.0
2026-08-01,Liga,Deportivo Cali,Medellin,Visitante,1-0,1,0,11.0,12.0,2.0,3.0,,0,0,2.0,3.0,17.0,13.0,3.0,2.0
2026-02-08,Liga,Deportivo Cali,Millonarios,Local,0-0,0,0,9.0,13.0,1.0,4.0,,0,0,3.0,9.0,13.0,6.0,2.0,2.0
2025-08-09,Liga,Millonarios,Deportivo Cali,Local,3-3,3,3,17.0,11.0,11.0,5.0,,2,1,7.0,4.0,13.0,10.0,4.0,4.0
2025-02-23,Liga,Deportivo Cali,Millonarios,Local,3-1,3,1,12.0,11.0,3.0,6.0,,2,0,4.0,3.0,12.0,20.0,3.0,4.0
2024-10-04,Liga,Deportivo Cali,Millonarios,Local,0-1,0,1,,,,,,0,1,,,,,,
2024-03-23,Liga,Millonarios,Deportivo Cali,Local,1-1,1,1,,,,,,0,0,,,,,,
